,caseid_new,married_w1,children_in_hh,age_difference,age_gap_bin_0_to_3,age_gap_bin_4_to_5,age_gap_bin_6_to_10,age_gap_bin_11_to_20,age_gap_bin_>=20,race_gap,religious_gap,same_sex_couple,parental_approval,edu_gap,edu_gap_bin_0_to_2,edu_gap_bin_3_to_4,edu_gap_bin_5_to_6,edu_gap_bin_>6,met_online,met_at_work,met_at_school,met_at_church,met_travel,met_social,met_party,met_f_and_f,met_as_neighbors,met_public_space,met_offline_dating,met_other,how_met_count,relationship_len,partner_deceased,relationship_quality_w1_excellent,relationship_quality_w1_fair,relationship_quality_w1_good,relationship_quality_w1_poor,relationship_quality_w1_very poor
0,22526,0,0,4.0,0,1,0,0,0,1,1,1,0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,12.0,0,0,0,1,0,0
1,23286,1,0,2.0,1,0,0,0,0,0,1,1,0,1.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,13.0,0,0,0,1,0,0
2,26315,0,0,9.0,0,0,1,0,0,0,1,1,1,2.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,8.0,0,0,0,1,0,0
3,28536,0,0,2.0,1,0,0,0,0,0,1,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17.0,0,0,0,1,0,0
4,29584,1,0,7.0,0,0,1,0,0,0,0,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,35.0,0,0,0,1,0,0
5,31456,0,0,0.0,1,0,0,0,0,0,1,1,1,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9.0,0,1,0,0,0,0
6,32656,0,0,0.0,1,0,0,0,0,0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,32.0,0,1,0,0,0,0
7,33536,0,0,9.0,0,0,1,0,0,1,0,1,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18.0,0,1,0,0,0,0
8,34341,1,0,0.0,1,0,0,0,0,0,1,0,1,0.0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,4,19.0,0,1,0,0,0,0
9,35653,0,0,15.0,0,0,0,1,0,0,1,1,0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14.0,0,1,0,0,0,0
10,36493,0,0,3.0,1,0,0,0,0,0,0,1,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.15,0,0,1,0,0,0
11,38895,0,0,37.0,0,0,0,0,1,0,1,1,0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,24.0,0,0,0,1,0,0
12,40335,0,0,6.0,0,0,1,0,0,1,1,1,0,8.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.5,0,0,0,1,0,0
13,41505,0,0,2.0,1,0,0,0,0,0,1,1,0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.15,0,0,0,1,0,0
14,43381,1,0,7.0,0,0,1,0,0,0,0,1,1,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,16.0,0,1,0,0,0,0
