,caseid_new,relationship_len,partner_deceased,relationship_quality_w1,category
0,22526,12.0,0,good,second_quartile
1,23286,13.0,0,good,second_quartile
2,26315,8.0,0,good,bottom_quartile
3,28536,17.0,0,good,second_quartile
4,29584,35.0,0,good,top_quartile
5,31456,9.0,0,excellent,bottom_quartile
6,32656,32.0,0,excellent,top_quartile
7,33536,18.0,0,excellent,third_quartile
8,34341,19.0,0,excellent,third_quartile
9,35653,14.0,0,excellent,second_quartile
10,36493,0.15,0,fair,bottom_quartile
11,38895,24.0,0,good,third_quartile
12,40335,2.5,0,good,bottom_quartile
13,41505,0.15,0,good,bottom_quartile
14,43381,16.0,0,excellent,second_quartile
15,44486,6.0,0,good,bottom_quartile
16,46746,48.0,0,excellent,top_quartile
17,48225,5.45,0,excellent,bottom_quartile
18,49731,51.0,0,excellent,top_quartile
19,51376,3.5,0,good,bottom_quartile
20,54415,0.45,0,good,bottom_quartile
21,55365,6.0,0,good,bottom_quartile
22,55686,17.0,0,excellent,second_quartile
23,56536,15.0,0,good,second_quartile
24,58295,9.0,0,excellent,bottom_quartile
25,60743,0.15,0,good,bottom_quartile
26,62283,0.75,0,good,bottom_quartile
27,64331,12.0,0,excellent,second_quartile
28,65446,0.75,0,excellent,bottom_quartile
29,66484,0.75,0,good,bottom_quartile
30,68546,25.0,0,good,third_quartile
31,69311,11.0,0,good,second_quartile
32,72515,11.0,0,good,second_quartile
33,73603,29.0,0,very poor,third_quartile
34,75621,34.0,0,good,top_quartile
35,77256,10.0,0,excellent,second_quartile
36,78351,21.0,0,good,third_quartile
37,79731,31.0,0,good,top_quartile
38,80656,35.0,0,excellent,top_quartile
39,81286,7.5,0,excellent,bottom_quartile
40,82431,31.0,0,good,top_quartile
41,83431,28.0,0,excellent,third_quartile
42,85281,15.0,0,excellent,second_quartile
43,86591,24.0,0,excellent,third_quartile
44,89766,40.0,0,excellent,top_quartile
45,94431,19.0,0,good,third_quartile
46,95431,30.0,0,fair,top_quartile
47,97195,2.45,0,excellent,bottom_quartile
48,99611,45.0,0,excellent,top_quartile
49,100331,16.0,0,good,second_quartile
50,103545,9.0,0,excellent,bottom_quartile
51,104565,5.0,0,excellent,bottom_quartile
52,106296,10.0,0,good,second_quartile
53,108381,24.0,0,fair,third_quartile
54,108501,32.0,0,excellent,top_quartile
55,110316,9.0,0,good,bottom_quartile
56,112646,35.0,0,excellent,top_quartile
57,113235,8.0,0,good,bottom_quartile
58,114276,10.0,0,excellent,second_quartile
59,115473,11.0,0,good,second_quartile
60,116271,12.0,0,excellent,second_quartile
61,117401,19.0,0,good,third_quartile
62,119371,13.0,0,excellent,second_quartile
63,119663,25.0,0,good,third_quartile
64,120456,26.0,0,excellent,third_quartile
65,121515,9.0,0,good,bottom_quartile
66,122441,29.0,0,excellent,third_quartile
67,125346,6.0,0,fair,bottom_quartile
68,126231,11.0,0,excellent,second_quartile
69,128441,6.5,0,excellent,bottom_quartile
70,130266,7.5,0,excellent,bottom_quartile
71,131561,43.0,0,excellent,top_quartile
72,133521,41.0,0,excellent,top_quartile
73,134275,7.5,0,excellent,bottom_quartile
74,134461,5.75,0,excellent,bottom_quartile
75,135736,23.0,0,excellent,third_quartile
76,136275,6.5,0,good,bottom_quartile
77,137215,7.5,0,excellent,bottom_quartile
78,140511,36.0,0,excellent,top_quartile
79,142561,44.0,0,excellent,top_quartile
80,143746,45.0,1,excellent,top_quartile
81,144545,19.0,0,excellent,third_quartile
82,145611,46.0,0,excellent,top_quartile
83,147245,2.75,0,fair,bottom_quartile
84,147525,23.0,0,excellent,third_quartile
85,150411,13.0,0,excellent,second_quartile
86,151506,15.0,0,excellent,second_quartile
87,152762,59.0,1,fair,top_quartile
88,154531,34.0,0,good,top_quartile
89,155561,40.0,0,excellent,top_quartile
90,156486,13.0,0,excellent,second_quartile
91,157421,16.0,0,good,second_quartile
92,158261,11.0,0,excellent,second_quartile
93,161715,51.0,0,excellent,top_quartile
94,162521,34.0,0,good,top_quartile
95,163195,5.15,0,excellent,bottom_quartile
96,166381,15.0,0,excellent,second_quartile
97,167245,6.0,0,excellent,bottom_quartile
98,168646,26.0,0,excellent,third_quartile
99,171391,5.45,0,good,bottom_quartile
100,172291,18.0,0,excellent,third_quartile
101,173671,54.0,0,good,top_quartile
102,174603,15.0,0,excellent,second_quartile
103,176495,7.5,0,excellent,bottom_quartile
104,177386,14.0,0,good,second_quartile
105,179461,27.0,0,good,third_quartile
106,180415,17.0,0,excellent,second_quartile
107,181403,19.0,0,excellent,third_quartile
108,185405,6.5,0,good,bottom_quartile
109,187511,16.0,0,excellent,second_quartile
110,189411,27.0,0,excellent,third_quartile
111,190215,3.5,0,excellent,bottom_quartile
112,191546,38.0,0,good,top_quartile
113,192341,16.0,0,good,second_quartile
114,193446,11.0,0,fair,second_quartile
115,194441,32.0,0,good,top_quartile
116,196851,76.0,0,excellent,top_quartile
117,197486,22.0,0,good,third_quartile
118,199261,10.0,0,excellent,second_quartile
119,202631,41.0,0,excellent,top_quartile
120,203562,2.5,0,fair,bottom_quartile
