,caseid_new,children_in_hh,age_difference,race_gap,religious_gap,edu_gap,met_online,met_at_work,met_at_school,met_at_church,met_travel,met_social,met_party,met_f_and_f,met_as_neighbors,met_public_space,met_offline_dating,met_other,how_met_count,relationship_len,partner_deceased,married_w1_married,married_w1_not married,age_gap_bin_0 to 3,age_gap_bin_11 to 20,age_gap_bin_4 to 5,age_gap_bin_6 to 10,age_gap_bin_>=20,same_sex_couple_different sex couple,same_sex_couple_same-sex couple,edu_gap_bin_0 to 2,edu_gap_bin_3 to 4,edu_gap_bin_5 to 6,edu_gap_bin_>6,parental_approval_approve,parental_approval_dont_approve,relationship_quality_w1_excellent,relationship_quality_w1_fair,relationship_quality_w1_good,relationship_quality_w1_poor,relationship_quality_w1_very poor,age_when_met,family_size,region,metro,region_midwest,region_northeast,region_south,region_west,partner_political,resondent_political,income_gap_raw,same_political,income_gap,respondent_earn_more,relationship_quality_w1,relationship_len_cat
0,22526,0,4.0,1,1,2.0,1,0,0,0,0,0,0,0,0,1,0,0,2,12.0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,45.0,0.0,2,1,1,0,0,0,democrat,democrat,partner earned more,1,1.0,0.0,good,second_quartile
1,23286,0,2.0,0,1,1.0,0,0,1,0,0,0,0,1,1,0,0,0,3,13.0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,19.0,0.0,1,1,0,0,0,1,democrat,democrat,i earned more,1,1.0,1.0,good,second_quartile
2,26315,0,9.0,0,1,2.0,1,0,0,0,0,0,0,1,0,0,0,0,2,8.0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,23.0,1.0,0,1,0,0,1,0,democrat,democrat,i earned more,1,1.0,1.0,good,bottom_quartile
3,28536,0,2.0,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,17.0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,41.0,1.0,2,1,1,0,0,0,democrat,democrat,i earned more,1,1.0,1.0,good,second_quartile
4,29584,0,7.0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,35.0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,28.0,0.0,0,1,0,0,1,0,democrat,democrat,partner earned more,1,1.0,0.0,good,top_quartile
5,31456,0,0.0,0,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,9.0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,42.0,8.0,0,1,0,0,1,0,independent,democrat,partner earned more,0,1.0,0.0,excellent,bottom_quartile
6,32656,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,2,32.0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,36.0,0.0,3,1,0,1,0,0,democrat,democrat,partner earned more,1,1.0,0.0,excellent,top_quartile
7,33536,0,9.0,1,0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,1,18.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,38.0,0.0,1,1,0,0,0,1,democrat,democrat,we earned about the same amount,1,0.0,,excellent,third_quartile
8,34341,0,0.0,0,1,0.0,0,0,1,0,0,1,0,1,1,0,0,0,4,19.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,18.0,0.0,2,1,1,0,0,0,independent,democrat,i earned more,0,1.0,1.0,excellent,third_quartile
9,35653,0,15.0,0,1,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,14.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,51.0,0.0,1,1,0,0,0,1,democrat,democrat,partner earned more,1,1.0,0.0,excellent,second_quartile
10,36493,0,3.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.15,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,49.0,3.0,2,0,1,0,0,0,democrat,democrat,partner earned more,1,1.0,0.0,fair,bottom_quartile
11,38895,0,37.0,0,1,3.0,1,0,0,0,0,0,0,0,0,0,1,0,2,24.0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,70.0,0.0,1,1,0,0,0,1,no preference,democrat,partner earned more,0,1.0,0.0,good,third_quartile
12,40335,0,6.0,1,1,8.0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.5,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,31.0,0.0,1,1,0,0,0,1,democrat,democrat,i earned more,1,1.0,1.0,good,bottom_quartile
