,caseid_new,partner_political,resondent_political,income_gap_raw,same_political,income_gap,respondent_earn_more
0,22526,democrat,democrat,partner earned more,1,1.0,0.0
1,23286,democrat,democrat,i earned more,1,1.0,1.0
2,26315,democrat,democrat,i earned more,1,1.0,1.0
3,28536,democrat,democrat,i earned more,1,1.0,1.0
4,29584,democrat,democrat,partner earned more,1,1.0,0.0
5,31456,independent,democrat,partner earned more,0,1.0,0.0
6,32656,democrat,democrat,partner earned more,1,1.0,0.0
7,33536,democrat,democrat,we earned about the same amount,1,0.0,
8,34341,independent,democrat,i earned more,0,1.0,1.0
9,35653,democrat,democrat,partner earned more,1,1.0,0.0
10,36493,democrat,democrat,partner earned more,1,1.0,0.0
11,38895,no preference,democrat,partner earned more,0,1.0,0.0
12,40335,democrat,democrat,i earned more,1,1.0,1.0
13,41505,democrat,democrat,partner earned more,1,1.0,0.0
14,43381,democrat,democrat,i earned more,1,1.0,1.0
15,44486,democrat,democrat,partner earned more,1,1.0,0.0
16,46746,democrat,democrat,i earned more,1,1.0,1.0
17,48225,republican,republican,i earned more,1,1.0,1.0
18,49731,independent,republican,i earned more,0,1.0,1.0
19,51376,democrat,democrat,i earned more,1,1.0,1.0
20,54415,independent,republican,partner earned more,0,1.0,0.0
21,55365,democrat,democrat,partner earned more,1,1.0,0.0
22,55686,independent,democrat,partner earned more,0,1.0,0.0
23,56536,democrat,democrat,i earned more,1,1.0,1.0
24,58295,republican,republican,i earned more,1,1.0,1.0
25,60743,democrat,democrat,we earned about the same amount,1,0.0,
26,62283,republican,republican,partner earned more,1,1.0,0.0
27,64331,independent,democrat,partner earned more,0,1.0,0.0
28,65446,democrat,democrat,partner earned more,1,1.0,0.0
29,66484,independent,democrat,partner earned more,0,1.0,0.0
30,68546,democrat,democrat,i earned more,1,1.0,1.0
31,69311,democrat,democrat,i earned more,1,1.0,1.0
32,72515,republican,republican,partner earned more,1,1.0,0.0
33,73603,no preference,republican,partner earned more,0,1.0,0.0
34,75621,republican,republican,i earned more,1,1.0,1.0
35,77256,democrat,democrat,we earned about the same amount,1,0.0,
36,78351,democrat,democrat,i earned more,1,1.0,1.0
37,79731,democrat,democrat,partner earned more,1,1.0,0.0
38,80656,democrat,democrat,we earned about the same amount,1,0.0,
39,81286,independent,republican,i earned more,0,1.0,1.0
40,82431,no preference,democrat,i earned more,0,1.0,1.0
41,83431,republican,republican,partner earned more,1,1.0,0.0
42,85281,republican,republican,partner earned more,1,1.0,0.0
43,86591,democrat,democrat,i earned more,1,1.0,1.0
44,89766,democrat,democrat,we earned about the same amount,1,0.0,
45,94431,democrat,democrat,i earned more,1,1.0,1.0
46,95431,independent,republican,i earned more,0,1.0,1.0
47,97195,independent,republican,i earned more,0,1.0,1.0
48,99611,no preference,democrat,partner earned more,0,1.0,0.0
49,100331,independent,democrat,i earned more,0,1.0,1.0
50,103545,republican,democrat,i earned more,0,1.0,1.0
51,104565,independent,democrat,partner earned more,0,1.0,0.0
52,106296,no preference,republican,we earned about the same amount,0,0.0,
53,108381,no preference,republican,partner earned more,0,1.0,0.0
54,108501,democrat,democrat,i earned more,1,1.0,1.0
55,110316,independent,democrat,i earned more,0,1.0,1.0
56,112646,democrat,democrat,partner earned more,1,1.0,0.0
57,113235,independent,democrat,partner earned more,0,1.0,0.0
58,114276,republican,republican,partner earned more,1,1.0,0.0
59,115473,democrat,democrat,i earned more,1,1.0,1.0
60,116271,no preference,democrat,i earned more,0,1.0,1.0
61,117401,republican,other,partner earned more,0,1.0,0.0
62,119371,independent,democrat,i earned more,0,1.0,1.0
63,119663,democrat,republican,partner earned more,0,1.0,0.0
64,120456,no preference,democrat,partner earned more,0,1.0,0.0
65,121515,democrat,republican,partner earned more,0,1.0,0.0
66,122441,democrat,democrat,partner earned more,1,1.0,0.0
67,125346,no preference,republican,we earned about the same amount,0,0.0,
68,126231,democrat,democrat,partner earned more,1,1.0,0.0
69,128441,republican,democrat,partner earned more,0,1.0,0.0
70,130266,no preference,republican,partner earned more,0,1.0,0.0
71,131561,republican,republican,partner earned more,1,1.0,0.0
72,133521,democrat,republican,partner earned more,0,1.0,0.0
73,134275,democrat,republican,i earned more,0,1.0,1.0
74,134461,no preference,republican,i earned more,0,1.0,1.0
75,135736,democrat,democrat,partner earned more,1,1.0,0.0
76,136275,no preference,democrat,i earned more,0,1.0,1.0
77,137215,democrat,republican,we earned about the same amount,0,0.0,
78,140511,republican,republican,partner earned more,1,1.0,0.0
79,142561,democrat,democrat,refused,1,,
80,143746,independent,democrat,we earned about the same amount,0,0.0,
81,144545,no preference,other,partner earned more,0,1.0,0.0
82,145611,independent,republican,i earned more,0,1.0,1.0
83,147245,democrat,democrat,i earned more,1,1.0,1.0
84,147525,republican,democrat,i earned more,0,1.0,1.0
85,150411,democrat,democrat,we earned about the same amount,1,0.0,
86,151506,independent,republican,i earned more,0,1.0,1.0
87,152762,democrat,democrat,we earned about the same amount,1,0.0,
88,154531,democrat,democrat,i earned more,1,1.0,1.0
89,155561,independent,republican,partner earned more,0,1.0,0.0
90,156486,independent,democrat,partner earned more,0,1.0,0.0
91,157421,republican,republican,partner earned more,1,1.0,0.0
92,158261,democrat,democrat,partner earned more,1,1.0,0.0
93,161715,independent,democrat,we earned about the same amount,0,0.0,
94,162521,republican,republican,partner earned more,1,1.0,0.0
95,163195,democrat,democrat,we earned about the same amount,1,0.0,
96,166381,independent,republican,i earned more,0,1.0,1.0
97,167245,republican,democrat,partner earned more,0,1.0,0.0
98,168646,independent,democrat,partner earned more,0,1.0,0.0
99,171391,independent,republican,we earned about the same amount,0,0.0,
100,172291,democrat,democrat,partner earned more,1,1.0,0.0
101,173671,democrat,democrat,i earned more,1,1.0,1.0
102,174603,democrat,democrat,partner earned more,1,1.0,0.0
103,176495,democrat,democrat,i earned more,1,1.0,1.0
104,177386,no preference,republican,i earned more,0,1.0,1.0
105,179461,independent,republican,i earned more,0,1.0,1.0
106,180415,no preference,democrat,partner earned more,0,1.0,0.0
107,181403,no preference,democrat,we earned about the same amount,0,0.0,
108,185405,democrat,democrat,partner earned more,1,1.0,0.0
109,187511,republican,republican,partner earned more,1,1.0,0.0
110,189411,republican,republican,i earned more,1,1.0,1.0
111,190215,republican,republican,we earned about the same amount,1,0.0,
112,191546,democrat,democrat,partner earned more,1,1.0,0.0
113,192341,republican,republican,i earned more,1,1.0,1.0
114,193446,republican,democrat,partner earned more,0,1.0,0.0
115,194441,democrat,democrat,partner earned more,1,1.0,0.0
116,196851,independent,republican,i earned more,0,1.0,1.0
117,197486,democrat,democrat,i earned more,1,1.0,1.0
118,199261,republican,republican,partner earned more,1,1.0,0.0
119,202631,democrat,democrat,we earned about the same amount,1,0.0,
120,203562,independent,democrat,i earned more,0,1.0,1.0
121,204561,democrat,democrat,partner earned more,1,1.0,0.0
122,205421,republican,republican,i earned more,1,1.0,1.0
123,206541,democrat,democrat,partner earned more,1,1.0,0.0
124,209345,independent,democrat,we earned about the same amount,0,0.0,
125,211571,independent,democrat,partner earned more,0,1.0,0.0
126,212505,democrat,democrat,partner earned more,1,1.0,0.0
127,214591,democrat,republican,partner earned more,0,1.0,0.0
128,217365,democrat,democrat,partner earned more,1,1.0,0.0
129,218426,democrat,democrat,i earned more,1,1.0,1.0
130,219265,independent,republican,i earned more,0,1.0,1.0
131,220411,independent,democrat,i earned more,0,1.0,1.0
132,221225,independent,democrat,i earned more,0,1.0,1.0
133,222281,republican,republican,i earned more,1,1.0,1.0
134,224425,no preference,republican,i earned more,0,1.0,1.0
135,225411,republican,republican,partner earned more,1,1.0,0.0
136,225516,democrat,democrat,we earned about the same amount,1,0.0,
137,226381,democrat,democrat,i earned more,1,1.0,1.0
138,228741,democrat,democrat,partner earned more,1,1.0,0.0
139,229666,democrat,republican,i earned more,0,1.0,1.0
140,230271,democrat,democrat,partner earned more,1,1.0,0.0
141,230651,independent,democrat,i earned more,0,1.0,1.0
142,231421,republican,republican,partner earned more,1,1.0,0.0
143,233441,republican,republican,partner earned more,1,1.0,0.0
144,236195,democrat,democrat,partner earned more,1,1.0,0.0
145,236456,democrat,democrat,i earned more,1,1.0,1.0
146,239561,independent,republican,i earned more,0,1.0,1.0
147,242355,no preference,republican,we earned about the same amount,0,0.0,
148,244431,democrat,republican,i earned more,0,1.0,1.0
149,245671,democrat,democrat,we earned about the same amount,1,0.0,
150,246531,republican,republican,partner earned more,1,1.0,0.0
151,247475,independent,republican,i earned more,0,1.0,1.0
152,249441,democrat,republican,i earned more,0,1.0,1.0
153,250546,democrat,republican,we earned about the same amount,0,0.0,
154,251822,republican,republican,i earned more,1,1.0,1.0
155,253483,democrat,democrat,partner earned more,1,1.0,0.0
156,254236,republican,democrat,partner earned more,0,1.0,0.0
157,255375,republican,democrat,partner earned more,0,1.0,0.0
158,256696,democrat,republican,we earned about the same amount,0,0.0,
159,257822,independent,republican,partner earned more,0,1.0,0.0
160,259495,independent,democrat,partner earned more,0,1.0,0.0
161,260461,independent,republican,i earned more,0,1.0,1.0
162,261591,no preference,democrat,partner earned more,0,1.0,0.0
163,262566,democrat,democrat,partner earned more,1,1.0,0.0
164,266436,democrat,democrat,partner earned more,1,1.0,0.0
165,267361,republican,republican,i earned more,1,1.0,1.0
166,269331,democrat,democrat,partner earned more,1,1.0,0.0
167,270225,democrat,democrat,partner earned more,1,1.0,0.0
168,271623,democrat,democrat,i earned more,1,1.0,1.0
169,272616,democrat,democrat,partner earned more,1,1.0,0.0
170,273431,democrat,democrat,we earned about the same amount,1,0.0,
171,273651,republican,republican,we earned about the same amount,1,0.0,
172,274536,democrat,democrat,i earned more,1,1.0,1.0
173,275653,republican,republican,refused,1,,
174,277391,independent,republican,we earned about the same amount,0,0.0,
175,278413,democrat,democrat,partner earned more,1,1.0,0.0
176,279534,democrat,democrat,i earned more,1,1.0,1.0
177,282691,independent,republican,i earned more,0,1.0,1.0
178,283386,republican,democrat,partner earned more,0,1.0,0.0
179,284426,democrat,democrat,i earned more,1,1.0,1.0
180,285261,republican,republican,partner earned more,1,1.0,0.0
181,286556,democrat,democrat,partner earned more,1,1.0,0.0
182,287496,republican,democrat,we earned about the same amount,0,0.0,
183,288666,democrat,democrat,i earned more,1,1.0,1.0
184,289486,democrat,democrat,partner earned more,1,1.0,0.0
185,290531,republican,republican,partner earned more,1,1.0,0.0
186,291286,democrat,republican,i earned more,0,1.0,1.0
187,293336,no preference,other,partner earned more,0,1.0,0.0
188,295531,no preference,republican,i earned more,0,1.0,1.0
189,296851,independent,republican,we earned about the same amount,0,0.0,
190,297285,democrat,democrat,i earned more,1,1.0,1.0
191,298551,republican,republican,i earned more,1,1.0,1.0
192,301251,republican,democrat,partner earned more,0,1.0,0.0
193,303195,democrat,democrat,partner earned more,1,1.0,0.0
194,304561,republican,republican,i earned more,1,1.0,1.0
195,305321,no preference,democrat,i earned more,0,1.0,1.0
196,306336,no preference,other,partner earned more,0,1.0,0.0
197,307423,independent,democrat,i earned more,0,1.0,1.0
198,307461,democrat,democrat,partner earned more,1,1.0,0.0
199,309276,independent,republican,we earned about the same amount,0,0.0,
200,311251,no preference,republican,i earned more,0,1.0,1.0
201,312373,democrat,republican,partner earned more,0,1.0,0.0
202,314341,democrat,democrat,partner earned more,1,1.0,0.0
203,320631,"another party, please specify",republican,i earned more,0,1.0,1.0
204,321421,republican,republican,i earned more,1,1.0,1.0
205,322421,democrat,republican,i earned more,0,1.0,1.0
206,323481,democrat,democrat,partner earned more,1,1.0,0.0
207,326341,democrat,republican,i earned more,0,1.0,1.0
