caseid_new,relationship_len,partner_deceased,relationship_quality_w1
22526,12,0,good
23286,13,0,good
26315,8,0,good
28536,17,0,good
29584,35,0,good
31456,9,0,excellent
32656,32,0,excellent
33536,18,0,excellent
34341,19,0,excellent
35653,14,0,excellent
36493,0.15,0,fair
38895,24,0,good
40335,2.5,0,good
41505,0.15,0,good
43381,16,0,excellent
44486,6,0,good
46746,48,0,excellent
48225,5.45,0,excellent
49731,51,0,excellent
51376,3.5,0,good
54415,0.45,0,good
55365,6,0,good
55686,17,0,excellent
56536,15,0,good
58295,9,0,excellent
60743,0.15,0,good
62283,0.75,0,good
64331,12,0,excellent
65446,0.75,0,excellent
66484,0.75,0,good
68546,25,0,good
69311,11,0,good
72515,11,0,good
73603,29,0,very poor
75621,34,0,good
77256,10,0,excellent
78351,21,0,good
79731,31,0,good
80656,35,0,excellent
81286,7.5,0,excellent
82431,31,0,good
83431,28,0,excellent
85281,15,0,excellent
86591,24,0,excellent
89766,40,0,excellent
94431,19,0,good
95431,30,0,fair
97195,2.45,0,excellent
99611,45,0,excellent
100331,16,0,good
103545,9,0,excellent
104565,5,0,excellent
106296,10,0,good
108381,24,0,fair
108501,32,0,excellent
110316,9,0,good
112646,35,0,excellent
113235,8,0,good
114276,10,0,excellent
115473,11,0,good
116271,12,0,excellent
117401,19,0,good
119371,13,0,excellent
119663,25,0,good
120456,26,0,excellent
121515,9,0,good
122441,29,0,excellent
125346,6,0,fair
126231,11,0,excellent
128441,6.5,0,excellent
130266,7.5,0,excellent
131561,43,0,excellent
133521,41,0,excellent
134275,7.5,0,excellent
134461,5.75,0,excellent
135736,23,0,excellent
136275,6.5,0,good
137215,7.5,0,excellent
140511,36,0,excellent
142561,44,0,excellent
143746,45,1,excellent
144545,19,0,excellent
145611,46,0,excellent
147245,2.75,0,fair
147525,23,0,excellent
150411,13,0,excellent
151506,15,0,excellent
152762,59,1,fair
154531,34,0,good
155561,40,0,excellent
156486,13,0,excellent
157421,16,0,good
158261,11,0,excellent
161715,51,0,excellent
162521,34,0,good
163195,5.15,0,excellent
166381,15,0,excellent
167245,6,0,excellent
168646,26,0,excellent
171391,5.45,0,good
172291,18,0,excellent
173671,54,0,good
174603,15,0,excellent
176495,7.5,0,excellent
177386,14,0,good
179461,27,0,good
180415,17,0,excellent
181403,19,0,excellent
185405,6.5,0,good
187511,16,0,excellent
189411,27,0,excellent
190215,3.5,0,excellent
191546,38,0,good
192341,16,0,good
193446,11,0,fair
194441,32,0,good
196851,76,0,excellent
197486,22,0,good
199261,10,0,excellent
202631,41,0,excellent
203562,2.5,0,fair
204561,44,0,good
205421,25,0,excellent
206541,40,0,excellent
209345,13,0,fair
211571,45,0,excellent
212505,0.75,0,good
214591,37,0,excellent
217365,2.5,0,fair
218426,1.45,0,excellent
219265,17,0,excellent
220411,16,0,excellent
221225,2.75,0,excellent
222281,10,0,excellent
224425,27,0,good
225411,28,0,good
225516,35,0,excellent
226381,10,0,excellent
228741,17,1,excellent
229666,21,0,good
230271,13,0,good
230651,38,1,excellent
231421,29,0,excellent
233441,25,0,excellent
236195,0.05,0,good
236456,11,0,excellent
239561,46,0,excellent
242355,5.75,0,good
244431,28,0,good
245671,50,0,good
246531,26,0,excellent
247475,24,0,good
249441,28,0,good
250546,18,0,excellent
251822,58,1,excellent
253483,10,0,good
254236,7,0,excellent
255375,6.5,0,good
256696,25,0,excellent
257822,65,1,excellent
259495,8,0,excellent
260461,20,0,good
261591,27,0,excellent
262566,26,0,good
266436,19,0,excellent
267361,25,0,excellent
269331,18,0,excellent
270225,2.05,0,good
271623,37,0,excellent
272616,19,0,good
273431,20,0,fair
273651,36,0,excellent
274536,29,0,excellent
275653,49,0,excellent
277391,21,0,excellent
278413,0.75,0,good
279534,17,0,fair
282691,48,0,excellent
283386,8,0,excellent
284426,1.5,0,good
285261,10,0,excellent
286556,19,0,excellent
287496,7.5,0,excellent
288666,10,0,excellent
289486,15,0,fair
290531,28,0,excellent
291286,10,0,excellent
293336,19,0,excellent
295531,35,0,excellent
296851,55,0,excellent
297285,1.5,0,very poor
298551,42,0,excellent
301251,9,0,good
303195,7.5,0,excellent
304561,17,0,excellent
305321,17,0,excellent
306336,16,0,excellent
307423,1.75,0,excellent
307461,36,0,excellent
309276,3.5,0,good
311251,7.5,0,good
312373,2.5,0,good
314341,17,0,good
320631,36,0,good
321421,27,0,good
322421,21,0,good
323481,31,0,excellent
326341,19,0,excellent
328341,14,0,good
329551,31,0,good
330496,35,0,excellent
331691,52,1,good
332401,25,0,excellent
333541,12,0,good
335326,6.5,0,excellent
336205,7,0,excellent
337581,43,0,excellent
338546,39,0,good
341391,5,0,good
342596,24,0,good
343421,31,0,excellent
344396,14,0,excellent
345491,12,0,poor
346371,24,0,excellent
347716,22,0,good
348456,9,0,good
350771,61,0,excellent
351405,0.75,0,good
352336,20,0,excellent
353285,16,0,excellent
354331,13,0,good
355771,65,0,excellent
358321,18,0,excellent
359511,11,0,good
360291,14,0,
361593,12,1,excellent
362491,39,0,excellent
363761,66,0,excellent
364365,9,0,excellent
367471,33,0,very poor
368611,51,0,excellent
370713,43,0,fair
371551,38,0,good
374391,16,0,good
375351,19,0,very poor
375486,13,0,excellent
378221,7.5,0,excellent
379781,5,1,excellent
380351,15,1,excellent
381295,6,0,excellent
383281,14,0,excellent
385491,26,0,good
386546,16,0,excellent
388731,59,0,excellent
389541,33,0,good
390431,13,0,excellent
392315,0.45,0,fair
392341,17,0,excellent
393591,48,0,excellent
396291,16,0,excellent
399361,20,0,excellent
401561,16,0,good
405782,6.5,0,excellent
406672,0.75,0,excellent
412281,4.5,0,fair
413606,32,0,excellent
414721,56,0,excellent
420285,6.5,0,excellent
421436,16,0,excellent
422485,13,0,fair
423411,23,0,excellent
425381,27,0,excellent
427821,70,0,excellent
429306,13,0,excellent
431851,33,0,good
432411,24,0,good
433481,25,0,good
437831,41,0,excellent
439271,11,0,excellent
440811,66,0,excellent
441341,24,0,excellent
443301,7.5,0,good
444371,20,0,good
445591,47,0,excellent
448326,7,0,excellent
449566,22,0,excellent
450291,15,0,excellent
452446,20,0,good
453361,24,0,excellent
454456,12,0,excellent
455601,20,0,excellent
458621,36,0,good
461511,41,0,excellent
465386,9,0,good
466852,11,0,good
468225,0.75,0,good
469391,20,0,excellent
470261,13,0,good
471426,9,0,good
472431,9,0,excellent
475485,31,0,excellent
478561,42,0,fair
480501,40,0,good
481445,12,0,excellent
483591,41,0,excellent
484581,39,0,good
489621,49,0,excellent
490291,12,0,good
491772,2.5,0,excellent
494215,7.5,0,excellent
496215,5.05,0,excellent
497295,6.5,0,excellent
499271,9,0,excellent
501306,10,0,good
502721,60,0,excellent
505381,26,0,excellent
506515,1.5,0,good
507491,34,0,excellent
508361,20,0,excellent
509391,22,0,good
511386,9,0,good
512356,17,0,excellent
513831,63,0,excellent
515281,9,0,excellent
516446,27,0,excellent
518481,27,0,
520581,40,0,excellent
523401,20,0,very poor
524471,21,0,good
525291,7,0,excellent
526701,60,0,excellent
527611,41,0,excellent
531265,5.75,0,excellent
532341,13,0,excellent
533831,63,1,excellent
535331,22,0,good
536205,2.5,0,excellent
538571,24,0,good
540435,9,0,good
541261,10,0,excellent
542711,30,0,excellent
543641,17,0,excellent
545326,10,0,
546195,9,0,excellent
549235,5,0,excellent
552391,17,0,good
553481,34,0,excellent
554226,5.75,0,excellent
555401,24,0,excellent
556351,20,0,fair
557215,1.5,0,good
561504,22,0,fair
563456,18,0,good
564405,23,0,excellent
566581,35,0,excellent
567481,33,0,excellent
569215,6.5,0,excellent
570541,13,0,excellent
571671,40,0,excellent
573381,13,0,good
576461,22,0,excellent
577531,33,0,fair
578381,27,0,excellent
579591,50,0,good
580281,16,0,excellent
581391,24,0,good
582561,42,0,excellent
586275,0.75,0,good
587291,18,0,excellent
591385,7.5,0,excellent
593511,40,0,good
594631,20,0,excellent
595611,30,1,excellent
596591,47,0,excellent
597341,11,0,good
599531,23,0,fair
600571,42,0,excellent
601241,10,0,excellent
602406,0.15,0,excellent
604521,41,0,fair
606225,6.5,0,good
609701,44,0,good
610321,8,0,excellent
611351,11,0,good
612291,10,0,excellent
613781,60,0,excellent
615255,4,0,good
617501,19,0,excellent
619451,10,0,excellent
620565,16,0,excellent
622641,45,0,poor
623493,0.75,0,fair
624536,36,0,good
626255,10,0,excellent
627533,0.15,0,good
628841,72,0,good
630534,28,0,poor
632473,21,1,good
633631,19,0,good
635411,21,0,excellent
636631,52,0,excellent
639211,5,0,good
640596,9,0,good
645922,81,0,excellent
646613,1.5,1,excellent
648586,26,0,good
650616,25,0,fair
651701,55,0,excellent
652271,14,0,excellent
653573,26,0,good
654431,22,0,good
655505,2.5,0,fair
656225,9,0,good
657761,61,0,excellent
658356,22,0,good
660391,11,0,good
661466,25,0,good
663872,66,1,excellent
664501,28,0,good
665256,9,0,excellent
666686,15,1,excellent
667321,10,0,good
668501,34,0,excellent
669511,30,0,good
670721,54,0,excellent
671481,24,0,excellent
672681,53,0,excellent
673371,26,0,excellent
675671,54,0,excellent
677226,11,0,excellent
680225,5.05,0,excellent
686266,6,0,excellent
689556,19,0,good
690195,0.75,0,good
692321,13,0,good
693365,7.5,0,excellent
696413,1.45,0,excellent
697396,13,0,good
698271,14,0,good
700396,25,0,excellent
701496,15,0,excellent
703215,9,0,excellent
704331,13,0,excellent
706306,6.5,0,good
709205,0.05,0,good
711676,29,0,excellent
712403,6,0,poor
714533,9,0,excellent
715631,33,0,good
717491,20,0,excellent
718255,6.5,0,excellent
719606,37,0,excellent
721305,6.5,0,excellent
722225,1.75,0,good
723325,5.05,0,excellent
724301,13,0,excellent
725421,19,0,excellent
726441,31,0,excellent
727261,6.5,0,excellent
729486,26,0,excellent
731431,27,0,excellent
733315,16,0,good
734541,22,0,good
735751,60,1,good
737741,64,0,excellent
738561,18,0,fair
740205,6,0,fair
741351,10,0,excellent
742246,13,0,excellent
744391,26,0,good
745435,,0,good
746481,38,0,excellent
747281,12,0,excellent
748371,18,0,excellent
749566,14,0,excellent
750561,43,0,excellent
752271,13,0,excellent
754281,15,0,excellent
755501,25,0,fair
756296,14,0,good
758456,26,0,excellent
761391,14,0,excellent
762205,6.5,0,excellent
767351,14,0,good
768371,18,0,excellent
771351,21,0,excellent
772291,18,0,excellent
773351,23,0,excellent
774401,11,0,good
775703,9,0,good
777281,12,0,good
778421,28,0,excellent
780753,31,0,excellent
781615,26,0,excellent
782861,65,0,excellent
784651,49,0,excellent
786215,12,0,excellent
787561,10,0,excellent
788331,16,0,good
789391,23,0,good
790595,31,0,good
791225,6,0,excellent
